ts	imei	mwra	p.android.chrome	p.system	p.android.externalstorage	p.android.packageinstaller	p.android.documentsui	p.android.gm	p.android.settings	p.inputmethod.latin	p.notifier	p.katana	p.dogalize	p.android.defcontainer	p.google	p.android.gms	p.olauncher	p.android.vending	p.browser.provider	p.process.gapps	p.gms.persistent	p.simulator
2018-05-05 10:10:00	3590433799317661420	0.00000	11.51240	7.17251	14.82047	13.09492	9.74321	9.42394	10.04708	70.65262	0.00012	52.14991	53.94131	78.37621	27.44296	53.98168	72.49571	52.42352	4.50661	64.84238	80.68184	23.43671
2018-05-05 10:11:00	359043379931766239	1.00000	10.56110	13.08149	12.11593	10.39383	11.92725	7.97664	13.05004	49.03754	0.01724	32.46357	54.83194	9.85472	27.88909	69.87268	87.80862	44.07614	13.75056	58.85434	8.11202	41.50158
2018-05-05 10:12:00	8630330696303481362	1.00000	9.35229	7.87281	10.45481	7.86440	8.75114	10.29600	11.28658	50.98772	0.00015	58.78939	50.81297	27.89308	14.26506	22.81984	30.82996	72.66178	44.58653	61.59990	27.40504	23.43216
2018-05-05 10:13:00	8630330696303481776	0.00000	11.39695	12.56098	14.74789	15.42306	8.73783	9.70113	7.81927	70.01041	0.01026	46.19244	65.48146	98.22325	37.14583	12.52527	81.49941	59.02477	44.43453	17.52554	39.95466	46.85740
2018-05-05 10:14:00	359043379931766205	1.00000	14.52963	11.02282	10.48852	11.57289	10.42242	8.49475	12.67634	56.61199	0.00226	30.78977	54.99994	39.16792	14.58473	22.47519	10.59445	74.59364	59.81364	6.08969	15.05191	7.88101
2018-05-05 10:15:00	863033069630348636	0.00000	11.98780	12.40125	13.72266	10.45084	11.85326	12.03692	12.63059	41.95187	0.00875	41.22713	48.47413	10.51623	66.39719	36.33333	72.07770	64.24593	74.65637	39.46742	70.18606	40.85254
2018-05-05 10:16:00	3590433799317661248	1.00000	10.46161	15.52358	12.35065	9.94287	11.19615	4.71572	7.24161	52.97331	0.19765	43.39602	47.20297	44.49713	82.00950	85.66285	24.44919	95.79045	89.90047	90.37367	21.42181	51.67461
2018-05-05 10:17:00	8630330696303482113	0.00000	10.89944	16.62267	14.28497	13.47213	9.61288	11.28531	10.92649	50.03729	0.59308	23.00530	65.80808	40.36473	0.98452	50.83786	4.51390	49.59389	27.06048	51.32614	90.17701	39.10998
2018-05-05 10:18:00	359043379931766296	1.00000	10.53376	11.58121	9.32360	10.24361	9.33123	9.10416	13.86581	51.85751	0.00388	51.90390	51.44086	47.86309	83.72958	24.65350	4.78933	29.51667	46.55016	89.10306	14.73785	82.65437
2018-05-05 10:19:00	3590433799317662030	1.00000	9.02128	11.12934	12.50317	10.91951	15.08653	11.71238	13.31043	42.53874	0.00249	52.67316	33.90080	78.35094	11.57148	29.29655	30.26285	43.47195	88.11694	15.93965	10.68270	59.99294
2018-05-05 10:20:00	359043379931766601	1.00000	9.29044	8.13573	13.62610	13.61876	8.09947	13.62148	13.52993	68.52511	0.00017	57.87677	42.14446	81.93101	69.96141	52.82004	28.91270	66.12542	27.57056	14.21605	76.36158	48.66777
2018-05-05 10:21:00	3590433799317662048	1.00000	11.28093	10.53082	8.83567	7.83611	10.27975	8.06052	9.65636	46.48787	0.00140	53.53157	69.06842	80.58443	95.02397	40.05130	47.12363	44.45700	47.95905	99.82137	4.48231	79.10090
2018-05-05 10:22:00	863033069630348362	1.00000	10.32040	10.64508	9.00046	8.46675	8.27254	10.36614	13.93461	70.06188	0.00156	50.74564	61.22466	75.29593	66.72761	64.21639	0.84236	22.13251	8.82157	71.62454	34.64616	63.60292
2018-05-05 10:23:00	359043379931766064	0.00000	8.95696	14.29937	13.56611	12.86396	10.35724	12.01782	11.92244	54.23367	0.05813	56.19038	69.25446	62.79412	62.38437	56.70190	79.22994	82.53911	56.99040	2.45045	5.63279	87.67756
2018-05-05 10:24:00	359043379931766536	0.00000	8.66316	12.97543	13.36971	13.14555	8.29573	8.18749	9.39672	62.77542	0.01552	67.88431	41.92474	45.82459	0.05705	9.99063	11.58079	14.98445	4.38667	48.24885	27.77479	39.39472
2018-05-05 10:25:00	8630330696303481693	0.00000	6.81883	12.31187	12.29760	14.23727	7.80170	9.70913	11.52493	55.83996	0.00802	65.09393	54.10612	91.14020	17.92330	20.03652	84.87689	56.93545	27.68399	88.13539	76.27751	45.07627
2018-05-05 10:26:00	359043379931766676	0.00000	9.08600	7.66824	11.00720	13.18165	8.14272	11.43990	14.82977	53.70846	0.00013	34.14498	43.69068	19.88577	43.92025	47.73559	39.07184	28.78978	76.98003	50.20354	24.43300	69.25191
2018-05-05 10:27:00	8630330696303482170	0.00000	9.41248	13.46559	14.78609	13.72087	9.75487	8.64126	11.04195	60.92826	0.02529	51.51493	64.57187	77.95821	16.78390	14.52625	70.75248	63.08220	43.21554	19.10285	88.08310	57.43181
2018-05-05 10:28:00	3590433799317662444	1.00000	9.70526	14.97527	12.68096	7.44206	12.51115	8.25810	12.11119	41.28801	0.11426	42.74578	51.02344	79.13356	57.32043	65.17448	2.70024	21.62108	42.10847	20.64112	56.67834	75.95012
2018-05-05 10:29:00	863033069630348479	0.00000	7.66159	9.62251	12.54967	12.67541	8.10950	13.60626	14.09944	42.10194	0.00062	26.90133	36.27682	15.05483	44.09900	63.08374	86.48324	55.45136	82.53294	2.90847	20.15176	83.96455
2018-05-05 10:30:00	863033069630348669	1.00000	10.43360	10.12030	12.80081	7.86582	13.75360	9.80425	12.66935	86.05543	0.00093	47.17971	53.48883	35.66681	1.86894	53.47300	91.01210	24.16473	28.23883	39.35823	82.54511	87.28060
2018-05-05 10:31:00	863033069630348578	0.00000	8.18817	7.32022	11.25761	10.38086	8.54379	12.05675	11.87435	26.57992	0.00012	56.04692	49.98984	47.66164	59.56011	71.53385	97.86496	85.27951	89.69735	93.14307	96.01394	25.60415
2018-05-05 10:32:00	359043379931766858	0.00000	9.97551	13.48149	12.36080	14.32071	9.75405	10.79139	9.26280	79.43329	0.02570	38.87403	43.29755	44.03243	3.89166	18.98091	23.17313	62.42755	65.41668	64.77503	43.48702	46.09942
2018-05-05 10:33:00	8630330696303481032	1.00000	11.81086	7.01116	12.50522	9.86111	12.09519	9.24006	9.37234	66.92742	0.00010	63.28084	41.01245	22.55222	83.19839	9.81295	16.25707	94.14981	45.42765	80.18646	25.65869	9.06100
2018-05-05 10:34:00	8630330696303481776	1.00000	11.28866	7.27257	11.16367	9.89603	10.64371	8.95171	11.63974	58.34006	0.00011	49.65874	44.70045	15.06956	92.53857	58.36199	96.01444	82.00474	61.56243	30.74650	68.44545	67.67802
2018-05-05 10:35:00	8630330696303481420	0.00000	8.09960	13.29628	10.23736	10.66405	15.10924	10.90619	14.66359	70.96161	0.02132	25.76994	63.40656	77.60315	99.63991	14.06919	65.05286	12.98158	23.91165	67.28240	51.20361	25.24203
2018-05-05 10:36:00	8630330696303481792	1.00000	8.79937	13.86702	9.59809	6.49160	11.03593	4.20454	11.96262	49.96242	0.03777	59.19753	35.73838	16.07396	14.70888	72.95566	1.74941	30.86562	49.52947	6.12074	0.01436	41.17563
2018-05-05 10:37:00	3590433799317661586	0.00000	8.99078	12.08327	14.34878	12.79665	7.82531	7.17517	8.39354	52.18797	0.00636	46.54553	45.55543	59.66787	75.14567	34.93261	55.23921	80.76747	25.11478	33.46696	78.25723	54.18366
2018-05-05 10:38:00	359043379931766262	0.00000	7.50477	8.74273	13.53743	11.85561	7.90316	15.12765	13.48706	50.87126	0.00027	47.43270	68.35489	62.81426	94.11668	77.96113	18.97115	87.06234	86.28482	23.71397	11.87989	28.60330
2018-05-05 10:39:00	359043379931766619	0.00000	8.80778	9.93861	14.89813	11.69196	10.80478	16.32449	12.57639	45.48490	0.00079	43.05182	46.40980	11.48628	18.05335	18.12579	8.12507	72.62264	63.33274	80.83896	9.82738	11.61597
2018-05-05 10:40:00	359043379931766122	0.00000	7.63825	9.99307	11.47998	12.22919	6.54390	6.75352	7.66408	58.42164	0.00082	44.59352	56.92195	69.73938	58.19596	19.33486	78.81148	53.70559	5.23273	14.50287	92.10400	58.53404
2018-05-05 10:41:00	3590433799317661719	1.00000	10.37056	11.07314	13.44870	7.08740	14.54813	7.33303	11.85412	30.52672	0.00236	46.95676	61.86118	38.64047	89.83702	73.50637	36.91359	92.13027	31.08046	58.40336	21.24183	79.64840
2018-05-05 10:42:00	8630330696303482212	1.00000	11.69496	5.84939	10.17832	10.90827	6.98854	9.92996	13.19812	74.01510	0.00007	45.09862	49.98086	66.02809	87.69861	16.22532	0.96930	53.22941	40.70242	26.73830	77.26862	48.88421
2018-05-05 10:43:00	3590433799317661529	1.00000	9.93072	8.10848	11.47113	11.64295	12.11481	8.74666	9.67566	33.68524	0.00017	53.70483	35.78285	93.32387	93.68132	40.04155	88.97525	53.21899	47.06196	1.78228	81.29301	62.42254
2018-05-05 10:44:00	3590433799317661461	1.00000	9.57335	13.55815	9.99637	9.30192	16.78445	9.94532	9.50185	44.29942	0.02773	56.97128	56.99519	76.29270	69.46524	18.98467	52.43233	0.91317	68.29680	59.76933	26.54891	61.60244
2018-05-05 10:45:00	863033069630348016	1.00000	14.53149	9.76376	6.66205	12.48150	9.09007	9.00369	15.16172	62.43716	0.00069	38.64024	49.86481	71.50477	28.35182	29.42535	44.53070	93.85014	13.72672	92.06447	29.22350	33.42594
2018-05-05 10:46:00	3590433799317662428	1.00000	12.04648	6.91385	12.99451	9.34752	11.14826	9.81611	10.04701	71.10840	0.00009	60.60908	55.82950	64.48556	6.04290	54.34870	67.18976	67.35132	31.81527	14.41901	89.05024	73.27281
2018-05-05 10:47:00	863033069630348487	0.00000	8.07088	12.47803	15.94143	11.63889	11.64759	11.19350	16.46634	69.07454	0.00947	47.71258	54.64149	25.92936	86.82720	92.91051	6.33305	53.78997	69.90712	92.17784	90.63565	95.06451
2018-05-05 10:48:00	8630330696303481495	1.00000	9.65494	13.57523	13.16781	6.86831	13.20103	7.88501	14.76886	39.39041	0.02822	53.89190	29.89288	93.05261	11.48505	37.35722	1.82095	93.47488	68.37962	91.44542	24.29874	74.23240
2018-05-05 10:49:00	8630330696303481552	0.00000	4.26043	8.46749	10.93505	11.82236	6.05173	14.41996	13.61547	59.51422	0.00024	68.20326	57.02385	30.04858	0.08002	84.70377	75.91805	86.61373	89.20852	1.14107	45.20909	46.93526
2018-05-05 10:50:00	359043379931766320	1.00000	8.61448	13.17015	15.41212	9.93268	11.35084	8.38839	14.83209	45.21286	0.01882	53.76138	36.01954	70.88938	16.37321	19.90406	12.80061	45.94474	83.77800	53.12061	26.26703	97.16115
2018-05-05 10:51:00	359043379931766635	0.00000	8.77303	12.86485	13.63789	13.46419	8.57710	9.71931	9.09117	50.73038	0.01388	48.55903	61.45108	57.75880	21.00233	63.47228	68.36187	83.12836	50.14138	41.36929	30.82073	29.93151
2018-05-05 10:52:00	8630330696303481768	0.00000	6.99437	8.99421	12.80313	10.96477	6.99613	16.30306	14.43625	64.52558	0.00035	72.45870	64.77938	79.03659	84.60062	42.39608	13.75211	69.35993	15.28473	38.60159	3.72299	65.58092
2018-05-05 10:53:00	8630330696303481040	0.00000	5.77512	14.90585	16.82739	13.34142	11.40099	14.53708	12.02922	60.57677	0.10659	36.29494	32.94698	79.03042	87.25088	10.34704	36.54920	58.97746	30.35373	5.86398	59.55635	40.55038
2018-05-05 10:54:00	3590433799317661289	1.00000	14.69432	12.16893	8.73546	10.63293	7.82412	10.64365	18.33037	86.38241	0.00696	41.96073	35.43014	46.53959	35.62608	50.95533	17.49319	82.23980	68.51640	39.34783	36.92127	32.00560
2018-05-05 10:55:00	3590433799317662006	1.00000	11.44647	10.76421	14.33967	8.87268	14.46726	11.25662	15.11473	55.26614	0.00174	55.25582	33.84703	61.03301	92.08073	52.24507	64.01340	70.19068	70.07889	78.74155	13.92682	41.85187
2018-05-05 10:56:00	863033069630348297	0.00000	6.41927	13.59481	14.18175	13.19421	9.94609	13.61422	8.11784	68.69648	0.02880	42.14409	56.65826	41.54138	72.30404	96.49700	82.79151	60.39997	96.74649	20.16279	77.18478	42.28630
2018-05-05 10:57:00	3590433799317661636	1.00000	9.87165	12.27136	11.34978	9.62488	11.75228	8.86127	12.22987	43.08883	0.00769	35.76572	50.43488	92.43616	8.91399	12.77104	71.21925	25.35923	44.53257	21.04596	6.17650	1.48214
2018-05-05 10:58:00	8630330696303481602	1.00000	10.32903	11.99635	14.38249	13.17062	13.15927	10.87503	12.74045	57.03512	0.00585	45.96414	51.15318	21.66387	11.16459	97.05997	3.64737	34.99520	5.83614	29.97070	35.88377	88.34710
2018-05-05 10:59:00	8630330696303482485	1.00000	16.61624	9.58532	6.24141	8.37580	6.70304	7.96379	13.10125	62.57396	0.00060	45.08864	56.76701	10.66201	57.83330	42.51836	19.11870	72.72756	49.49219	61.57961	87.06044	9.11197
2018-05-05 11:00:00	3590433799317662436	0.00000	8.61547	10.04107	14.16884	11.28361	11.04956	14.10406	12.30845	43.69359	0.00088	61.80254	68.44232	95.16311	26.04243	67.06567	95.69947	62.87171	9.21805	7.18049	84.20962	89.39659
2018-05-05 11:01:00	359043379931766239	0.00000	10.18332	10.63305	13.54075	11.61358	8.61875	7.99219	6.39813	51.69891	0.00153	55.94433	41.67140	99.61221	71.63969	16.14149	87.14624	32.50354	67.04880	50.50332	33.78488	67.48367
2018-05-05 11:02:00	3590433799317661750	1.00000	9.41815	9.90820	13.56552	14.07821	15.01918	10.04029	10.24342	49.72708	0.00074	53.13992	45.62664	62.58732	96.65651	77.38101	70.17177	1.51082	36.79561	98.39560	99.20923	69.25999
2018-05-05 11:03:00	8630330696303482097	1.00000	10.17959	12.96241	8.95953	9.98115	15.44632	8.36359	8.55579	62.59761	0.01530	39.73016	50.98327	65.25415	4.57273	84.87595	75.88148	71.46623	87.72891	26.34334	95.68849	93.17293
2018-05-05 11:04:00	8630330696303482154	1.00000	14.65976	8.99464	10.60911	11.25342	9.80297	10.33276	14.69443	46.24768	0.00034	48.58905	46.95227	63.21081	67.44528	44.27351	31.11278	9.49184	82.10085	29.44882	19.67717	95.97922
2018-05-05 11:05:00	3590433799317661016	0.00000	10.19245	12.81786	16.11681	12.29696	9.35981	9.96486	8.06058	34.16832	0.01327	49.13988	56.48554	31.20871	18.78970	75.34173	40.12894	39.75300	20.14462	73.32614	88.69766	59.51419
2018-05-05 11:06:00	8630330696303481388	0.00000	8.01292	9.01774	12.87691	12.63670	6.48043	6.36591	8.37837	41.79750	0.00034	67.01487	60.43095	37.65660	27.02181	50.07639	28.02120	11.42246	98.65561	60.16189	43.27416	43.57870
2018-05-05 11:07:00	863033069630348180	0.00000	6.70032	9.23898	12.81748	13.60943	8.94149	11.74662	11.94416	56.42937	0.00043	50.53170	60.60597	39.01641	79.79606	50.81157	87.80397	50.99093	26.23850	78.02831	39.11589	91.09256
2018-05-05 11:08:00	3590433799317661123	1.00000	11.28426	11.48093	10.55499	6.12715	10.14194	10.72039	12.44271	62.90654	0.00351	46.87278	52.76841	51.14647	85.94920	8.25088	16.66438	80.21631	1.23636	96.24192	87.84265	63.21731
2018-05-05 11:09:00	863033069630348974	0.00000	7.23195	11.38744	13.05166	10.33447	9.68752	14.62114	12.35648	49.19696	0.00322	65.74894	61.24735	31.30128	18.60080	44.88373	44.83363	90.99932	74.86702	20.82267	92.69358	94.33363
2018-05-05 11:10:00	863033069630348487	0.00000	9.11732	11.81868	14.35761	12.16385	7.09800	8.26498	9.23243	51.62997	0.00492	40.45890	56.67718	57.81669	49.56040	76.55750	65.15211	18.32493	29.53402	10.93076	83.62174	55.71417
2018-05-05 11:11:00	359043379931766312	1.00000	12.74984	8.25746	9.88918	10.39892	9.81334	8.95984	13.09627	41.47580	0.00016	54.37195	75.30942	22.02705	19.89080	38.92435	35.21138	53.51510	2.21998	72.76333	52.73723	22.11857
2018-05-05 11:12:00	8630330696303482451	1.00000	11.37353	4.06944	9.76461	6.49254	7.37021	9.52219	10.88370	53.95924	0.00007	54.56794	50.30688	55.52947	29.49622	60.64382	34.63656	91.59195	81.84737	75.15478	18.00971	77.85949
2018-05-05 11:13:00	3590433799317661917	1.00000	14.69675	10.33238	12.28312	12.55834	10.60599	9.38127	11.11794	49.25276	0.00116	59.85354	61.78324	56.39979	67.06703	64.77816	36.22911	43.52812	29.09062	3.71573	87.17671	88.14936
2018-05-05 11:14:00	8630330696303481008	0.00000	11.90104	6.62311	13.74324	15.29761	10.04527	12.91137	10.23798	58.68996	0.00005	47.30826	60.86565	11.24511	47.84511	19.83515	64.18088	23.24728	77.87877	43.51352	30.79306	39.11200
2018-05-05 11:15:00	3590433799317661875	1.00000	9.55864	12.02748	7.89341	5.53925	8.31509	10.48654	13.93207	68.55156	0.00603	39.35135	55.76313	1.62576	9.15787	20.96772	7.90776	43.72104	39.17790	90.03411	41.21681	69.75369
2018-05-05 11:16:00	359043379931766601	0.00000	11.11741	10.33413	14.03418	12.18296	7.48230	5.80181	7.06150	53.53588	0.00115	61.74177	57.27590	2.01906	87.32650	95.72520	36.84948	92.62988	34.69059	17.29460	8.86548	2.75995
2018-05-05 11:17:00	8630330696303481578	1.00000	8.12122	9.49552	12.43221	15.16758	6.66349	13.52543	16.20924	56.99730	0.00054	45.41007	71.26029	17.84769	42.28660	27.55980	16.28257	90.20929	89.71105	49.73201	33.07034	19.41783
2018-05-05 11:18:00	8630330696303481768	1.00000	7.76802	11.16338	14.78719	13.44836	10.85475	10.89566	8.14673	60.83881	0.00256	56.52607	50.65877	13.60677	38.34369	87.34984	75.52274	22.12219	27.00059	67.10839	82.90155	39.41790
2018-05-05 11:19:00	8630330696303481040	1.00000	9.70612	10.89941	12.75889	7.83718	14.76531	10.40180	14.61194	77.21477	0.00202	41.83060	65.98319	40.12250	22.02636	52.80934	7.76541	80.70992	49.93606	45.47713	23.66178	34.54392
2018-05-05 11:20:00	359043379931766221	1.00000	10.69846	13.62791	16.29714	9.86241	11.28082	7.60306	13.70010	65.46932	0.02975	58.33336	58.04803	24.21290	22.40729	93.64203	51.85212	98.73057	73.18815	55.02088	27.66318	72.22453
2018-05-05 11:21:00	8630330696303481263	1.00000	15.20389	7.01887	5.76984	8.05143	5.62923	8.58570	13.78338	50.53131	0.00006	58.50714	49.42644	6.18226	24.02076	50.38616	14.75430	5.89346	70.25226	40.33180	10.50375	25.93069
2018-05-05 11:22:00	8630330696303481107	1.00000	13.81228	17.20582	7.07703	9.85773	9.31305	7.59098	14.98916	44.71334	1.06260	62.02998	66.15158	60.04553	99.44682	8.45601	56.64688	75.92767	73.22597	34.52942	21.05152	14.72960
2018-05-05 11:23:00	3590433799317661453	1.00000	7.15337	13.96376	11.47429	8.01239	12.40738	7.61559	14.01181	52.47341	0.04158	37.27129	48.42045	92.34567	96.21387	54.33620	25.24814	77.19236	96.16776	74.67429	96.26352	6.02900
2018-05-05 11:24:00	8630330696303482261	1.00000	12.62045	7.91075	9.10234	7.88823	9.65986	10.37033	12.58130	71.81599	0.00016	43.29780	49.80748	70.14702	40.32074	34.70841	56.25229	70.35608	11.12819	32.91216	19.71596	85.49314
2018-05-05 11:25:00	8630330696303482436	0.00000	10.78511	9.26928	11.77645	13.51100	9.32369	11.00470	11.83274	46.69718	0.00043	48.26168	49.98523	20.17951	80.37736	88.52453	10.20232	19.13399	80.29411	2.42040	61.67032	70.00170
2018-05-05 11:26:00	863033069630348230	1.00000	6.92994	16.05697	10.77705	8.78636	14.52675	9.51596	16.23880	37.79893	0.33688	56.58460	51.12764	23.64056	23.36288	37.70075	6.75105	37.94583	0.89331	96.10632	36.49942	59.47686
2018-05-05 11:27:00	863033069630348370	1.00000	5.88619	20.50964	10.76716	8.11496	12.82607	5.88874	14.84416	33.50008	28.91906	55.82647	60.12460	59.48285	79.45099	93.50777	0.04087	73.24582	48.48351	93.27592	0.34594	42.64263
2018-05-05 11:28:00	359043379931766528	0.00000	12.36758	10.76452	11.43246	14.17949	9.47821	8.76094	8.25046	72.29905	0.00175	51.51082	41.99329	28.52905	78.48407	88.60512	56.41759	51.53836	89.08480	61.32438	43.02678	60.61840
2018-05-05 11:29:00	863033069630348297	1.00000	9.34847	9.62404	10.84018	8.25421	15.65782	11.53502	16.22511	64.42295	0.00059	56.28302	64.62769	98.89554	54.81256	32.54582	78.59369	25.80393	74.42496	69.50218	61.47939	49.75133
2018-05-05 11:30:00	8630330696303481206	1.00000	10.42981	9.63876	8.65314	6.17226	8.83421	9.42407	10.01071	55.91329	0.00060	49.08676	55.69114	68.69382	66.51190	95.56783	12.72214	3.73732	91.98591	92.70206	80.10858	46.87661
2018-05-05 11:31:00	863033069630348859	1.00000	8.63786	11.41760	10.99293	10.08284	10.13551	8.08415	10.17669	54.02832	0.00332	38.39206	46.26422	94.90295	49.40132	11.78355	48.93804	37.10294	64.32614	22.28335	7.40295	47.84159
2018-05-05 11:32:00	8630330696303481438	0.00000	9.65209	11.88598	14.92040	11.77768	11.60384	12.35015	13.42519	44.79650	0.00528	50.90105	52.69160	97.83040	71.99828	5.01193	44.43005	33.43457	4.61889	53.30868	28.10293	44.95436
2018-05-05 11:33:00	3590433799317661081	1.00000	14.04431	10.22811	10.10361	12.21711	10.38227	8.49592	13.22658	65.42521	0.00102	49.72647	46.36450	88.56565	36.85378	85.49705	99.76375	1.43597	13.05084	13.11920	27.89795	72.79386
2018-05-05 11:34:00	863033069630348917	1.00000	11.39736	10.22795	9.64204	8.65040	9.52439	10.26445	12.68013	37.26266	0.00103	31.79935	54.53744	78.97933	38.04505	7.93726	47.82138	63.02162	78.73376	12.82839	10.04158	6.25592
2018-05-05 11:35:00	8630330696303482436	1.00000	12.22183	9.36513	9.28097	8.68549	8.61399	9.76750	12.95603	58.30443	0.00048	45.21574	49.40341	52.75878	87.50274	43.15988	22.36669	25.09364	94.61462	90.19789	56.64613	90.43736
2018-05-05 11:36:00	3590433799317662063	0.00000	10.09113	13.26287	12.95626	9.44546	9.91140	8.33902	13.30571	75.70702	0.02064	53.06198	30.88280	90.82865	77.02196	95.62808	31.93200	28.21268	22.44115	81.41709	67.73425	12.39943
2018-05-05 11:37:00	359043379931766916	1.00000	15.07543	5.86165	9.95649	9.25368	8.47731	10.15666	13.73021	59.98114	0.00005	43.49602	48.58877	32.76851	87.14649	94.79929	33.29433	5.35694	29.56523	1.03951	50.31399	89.76375
2018-05-05 11:38:00	8630330696303481321	1.00000	7.88678	12.79982	10.28915	10.48137	14.54141	10.70059	10.81432	65.94832	0.01302	64.90002	45.16442	23.05979	31.62850	10.65591	11.27111	25.80300	61.63239	78.85335	66.82549	7.20728
2018-05-05 11:39:00	3590433799317661404	1.00000	13.78264	8.64777	9.23285	10.81589	6.70557	10.87845	17.80301	61.13120	0.00029	54.68689	42.50375	56.53301	42.52248	71.83638	34.79343	29.05098	84.53826	86.69992	11.34389	53.46216
2018-05-05 11:40:00	8630330696303481446	0.00000	7.52998	13.03113	15.27962	11.50002	9.42184	14.54425	17.51611	51.79454	0.01638	13.36049	74.72397	99.02698	91.53623	1.63816	34.62894	52.10053	89.34231	68.33254	91.21182	40.24674
2018-05-05 11:41:00	359043379931766130	1.00000	7.66737	12.45022	8.36138	10.22233	15.75882	10.36394	10.20311	73.22733	0.00918	58.85372	35.26361	23.32144	41.10629	40.74898	50.10228	25.56709	47.72705	51.21371	57.56415	5.53540
2018-05-05 11:42:00	359043379931766700	0.00000	9.28411	12.81538	13.05000	14.33698	10.00306	12.05433	7.15050	73.03337	0.01323	63.55039	61.08384	84.70521	62.35768	97.13942	69.67262	10.53625	10.43600	20.65937	67.59173	55.09093
2018-05-05 11:43:00	8630330696303482030	1.00000	8.64857	13.67875	13.27960	12.77363	13.94150	9.88030	11.56140	52.70052	0.03129	47.66581	49.36046	50.10381	79.45207	57.70387	39.27637	41.07863	53.08787	22.76905	45.72078	92.15564
2018-05-05 11:44:00	3590433799317661743	0.00000	9.42542	10.63362	11.86247	12.45573	8.14764	8.62747	8.23397	50.76871	0.00154	14.20560	64.19499	6.75957	27.97328	95.89526	5.82283	52.72652	19.93269	53.25403	19.83879	62.79965
2018-05-05 11:45:00	863033069630348537	0.00000	7.49117	14.66790	13.57477	12.88694	10.20351	13.19884	9.97461	21.61608	0.08402	33.80730	30.84206	70.10480	8.40568	35.76702	78.07088	57.10011	21.54323	97.80650	71.01220	14.11274
2018-05-05 11:46:00	359043379931766056	0.00000	9.15415	14.34558	8.37036	9.36759	9.36850	8.95821	13.05115	59.82309	0.06088	84.01603	43.59101	61.54091	43.13049	42.80144	33.42620	67.89421	30.96738	24.33924	3.28919	98.00609
2018-05-05 11:47:00	3590433799317662261	1.00000	11.14722	7.42805	14.13779	8.77733	16.18345	12.45410	13.20273	55.83294	0.00008	35.54717	48.79549	64.71134	68.49026	53.16730	39.30903	67.27604	42.07874	76.86484	76.53842	69.87742
